Date: 16.11.2025
Total amount: 44372
"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2: 38757"
"0xdac17f958d2ee523a2206206994597c13d831ec7: 2781"
"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599: 328"
"0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce: 72"
"0x514910771af9ca656af840dff83e8264ecf986ca: 68"
"0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2: 30"
"0x5a98fcbea516cf06857215779fd812ca3bef1b32: 23"
"0x55296f69f40ea6d20e478533c15a6b08b654e758: 17"
"0xfa3e941d1f6b7b10ed84a0c211bfa8aee907965e: 15"
"0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f: 14"
"0xb8c77482e45f1f44de1745f52c74426c631bdd52: 13"
"0x4a220e6096b25eadb88358cb44068a3248254675: 13"
"0x0d8775f648430679a709e98d2b0cb6250d2887ef: 13"
"0xb4efd85c19999d84251304bda99e90b92300bd93: 12"
"0x6810e776880c02933d47db1b9fc05908e5386b96: 12"
"0x57ab1ec28d129707052df4df418d58a2d46d5f51: 12"
"0x0f5d2fb29fb7d3cfee444a200298f468908cc942: 12"
"0xe41d2489571d322189246dafa5ebde1f4699f498: 11"
"0xc0c609e345faeabd2263eb56ed74fbb77c02a093: 11"
"0x4e15361fd6b4bb609fa63c81a2be19d873717870: 11"
"0x056fd409e1d7a124bd7017459dfea2f387b6d5cd: 11"
"0xdb25f211ab05b1c97d595516f45794528a807ad8: 10"
"0xdb5c3c46e28b53a39c255aa39a411dd64e5fed9c: 10"
"0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d: 10"
"0x86dd3002bf215082ea43b0bd2fd595ece4341880: 10"
"0x419d0d8bdd9af5e606ae2232ed285aff190e711b: 10"
"0x3506424f91fd33084466f402d5d97f05f8e3b4af: 10"
"0xe225aca29524bb65fd82c79a9602f3b4f9c6fe3f: 9"
"0xdd0ef0b2de3efec847a79b4ce4de52c4bb98f488: 9"
"0xd31695a1d35e489252ce57b129fd4b1b05e6acac: 9"
"0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e: 9"
"0x3472a5a71965499acd81997a54bba8d852c6e53d: 9"
"0x27c70cd1946795b66be9d954418546998b546634: 9"
"0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206: 8"
"0xec67005c4e498ec7f55e092bd1d35cbc47c91892: 7"
